Code_BV_Complet;Libellé commune;Exprimés;PCT_RN;PCT_UG;PCT_ENS
33334771;Saint-Seurin-de-Cursac;372;47.85;23.39;26.08
33334781;Saint-Seurin-sur-l'Isle;764;55.37;17.54;25.26
33334782;Saint-Seurin-sur-l'Isle;708;56.5;19.77;22.18
33334791;Saint-Sève;138;47.83;23.91;23.91
33334801;Saint-Sulpice-de-Faleyrens;797;45.04;22.08;30.87
33334811;Saint-Sulpice-de-Guilleragues;149;42.95;29.53;22.82
33334821;Saint-Sulpice-de-Pommiers;156;39.74;28.21;30.13
33334831;Saint-Sulpice-et-Cameyrac;538;48.33;28.07;15.61
33334832;Saint-Sulpice-et-Cameyrac;547;46.98;23.03;20.11
33334833;Saint-Sulpice-et-Cameyrac;593;39.97;23.44;24.79
33334834;Saint-Sulpice-et-Cameyrac;568;31.69;19.54;35.74
33334835;Saint-Sulpice-et-Cameyrac;520;37.69;33.08;20.38
33334841;Saint-Symphorien;520;45.58;24.23;26.35
33334842;Saint-Symphorien;430;42.79;25.58;25.58
33334851;Sainte-Terre;650;50.77;18.46;29.54
33334852;Sainte-Terre;288;41.67;23.61;32.29
33334861;Saint-Trojan;184;45.11;26.09;25.54
33334871;Saint-Vincent-de-Paul;450;51.33;28.0;12.89
33334881;Saint-Vincent-de-Pertignas;225;48.89;18.67;29.78
33334891;Saint-Vivien-de-Blaye;212;50.47;15.09;32.08
33334901;Saint-Vivien-de-Médoc;1049;52.62;26.69;15.92
33334911;Saint-Vivien-de-Monségur;210;50.48;16.67;30.95
33334921;Saint-Yzan-de-Soudiac;536;55.97;21.83;18.84
33334922;Saint-Yzan-de-Soudiac;523;60.99;21.22;14.72
33334931;Saint-Yzans-de-Médoc;185;50.81;34.59;10.27
33334941;Salaunes;657;41.25;31.81;19.03
33334961;Salleboeuf;508;36.42;26.38;32.28
33334962;Salleboeuf;471;35.67;28.66;30.15
33334963;Salleboeuf;521;33.97;25.34;35.7
33334981;Salles;582;38.66;27.66;30.07
33334982;Salles;696;39.22;26.72;30.89
33334983;Salles;696;46.41;27.73;23.42
33334984;Salles;659;43.7;24.43;28.98
33334985;Salles;600;42.67;29.17;25.5
